"X"	"latitude"	"longitude"	"returned.address"	"zipcode"	"neighborhood"	"borough"
"48"	48	40.78473	-73.96962	"251 Central Park West, New York, NY 10024, USA"	"10024"	"Upper West Side"	"Manhattan"
"49"	49	40.7462	-73.98856	"1200 Broadway, New York, NY 10001, USA"	"10001"	"Chelsea and Clinton"	"Manhattan"
"50"	50	40.7603	-73.99884	"533-549 11th Ave, New York, NY 10036, USA"	"10036"	"Chelsea and Clinton"	"Manhattan"
"51"	51	40.72205	-73.98911	"187-189 Allen St, New York, NY 10002, USA"	"10002"	"Lower East Side"	"Manhattan"
"52"	52	40.71308	-73.99851	"64 St James Pl, New York, NY 10038, USA"	"10038"	"Lower Manhattan"	"Manhattan"
"53"	53	40.71759	-73.99622	"Quaker Meeting-house, New York, NY 10013, USA"	"10013"	"Greenwich Village and Soho"	"Manhattan"
"54"	54	40.73039	-74.00215	"2-28 Carmine St, New York, NY 10014, USA"	"10014"	"Greenwich Village and Soho"	"Manhattan"
"55"	55	40.71755	-74.01322	"Tribeca Bridge, New York, NY 10282, USA"	"10282"	"Lower Manhattan"	"Manhattan"
"56"	56	40.69363	-73.96224	"122-166 Emerson Pl, Brooklyn, NY 11205, USA"	"11205"	"Northwest Brooklyn"	"Brooklyn"
"57"	57	40.77801	-73.95407	"200-206 E 85th St, New York, NY 10028, USA"	"10028"	"Upper East Side"	"Manhattan"
"58"	58	40.69682	-73.93757	"1103 Myrtle Ave, Brooklyn, NY 11206, USA"	"11206"	"Bushwick and Williamsburg"	"Brooklyn"
"59"	59	40.75929	-73.9886	"301 W 45th St, New York, NY 10036, USA"	"10036"	"Chelsea and Clinton"	"Manhattan"
"60"	60	40.7714	-73.95352	"1487 1st Avenue, New York, NY 10075, USA"	"10075"	"Upper East Side"	"Manhattan"
"61"	61	40.68223	-73.96146	"443-457 Grand Ave, Brooklyn, NY 11238, USA"	"11238"	"Central Brooklyn"	"Brooklyn"
"62"	62	40.75383	-73.94268	"41-0-41-28 21st St, Long Island City, NY 11101, USA"	"11101"	"Northwest Queens"	"Queens"
"63"	63	40.73945	-73.97681	"335 E 27th St, New York, NY 10016, USA"	"10016"	"Gramercy Park and Murray Hill"	"Manhattan"
"64"	64	40.72954	-73.98427	"317-399 E 11th St, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"65"	65	40.76916	-73.98192	"1840-1854 Broadway, New York, NY 10023, USA"	"10023"	"Upper West Side"	"Manhattan"
"66"	66	40.76019	-73.99126	"630 9th Ave, New York, NY 10036, USA"	"10036"	"Chelsea and Clinton"	"Manhattan"
"67"	67	40.72299	-73.97995	"644-698 E 5th St, New York, NY 10009, USA"	"10009"	"Lower East Side"	"Manhattan"
"68"	68	40.69326	-73.9689	"154 Clinton Ave, Brooklyn, NY 11205, USA"	"11205"	"Northwest Brooklyn"	"Brooklyn"
"69"	69	40.73818	-73.97739	"357-425 E 25th St, New York, NY 10010, USA"	"10010"	"Gramercy Park and Murray Hill"	"Manhattan"
"70"	70	40.69128	-73.94524	"238 Kosciuszko St, Brooklyn, NY 11221, USA"	"11221"	"Bushwick and Williamsburg"	"Brooklyn"
"71"	71	40.73401	-74.00294	"226 West 4th Street, New York, NY 10014, USA"	"10014"	"Greenwich Village and Soho"	"Manhattan"
"72"	72	40.71924	-73.95242	"614-642 Union Ave, Brooklyn, NY 11211, USA"	"11211"	"Greenpoint"	"Brooklyn"
"73"	73	40.71535	-73.96024	"249 Bedford Ave, Brooklyn, NY 11249, USA"	"11249"	"Bushwick and Williamsburg"	"Brooklyn"
"74"	74	40.74291	-73.97706	"576 2nd Ave, New York, NY 10016, USA"	"10016"	"Gramercy Park and Murray Hill"	"Manhattan"
"75"	75	40.73997	-74.00514	"345-349 W 13th St, New York, NY 10014, USA"	"10014"	"Greenwich Village and Soho"	"Manhattan"
"76"	76	40.73226	-73.99852	"156-172 Macdougal St, New York, NY 10011, USA"	"10011"	"Chelsea and Clinton"	"Manhattan"
"77"	77	40.75601	-73.96742	"300 E 52nd St, New York, NY 10022, USA"	"10022"	"Gramercy Park and Murray Hill"	"Manhattan"
"78"	78	40.74312	-73.98215	"136 Lexington Ave, New York, NY 10016, USA"	"10016"	"Gramercy Park and Murray Hill"	"Manhattan"
"79"	79	40.71582	-73.99422	"36 Forsyth St, New York, NY 10002, USA"	"10002"	"Lower East Side"	"Manhattan"
"80"	80	40.7834	-73.98093	"251-299 W 78th St, New York, NY 10024, USA"	"10024"	"Upper West Side"	"Manhattan"
"81"	81	40.74735	-73.99724	"301-307 W 26th St, New York, NY 10001, USA"	"10001"	"Chelsea and Clinton"	"Manhattan"
"82"	82	40.72906	-73.95779	"38-78 Milton St, Brooklyn, NY 11222, USA"	"11222"	"Greenpoint"	"Brooklyn"
"83"	83	40.76527	-73.98192	"1750 Broadway, New York, NY 10019, USA"	"10019"	"Chelsea and Clinton"	"Manhattan"
"84"	84	40.73555	-73.95284	"373 McGuinness Blvd, Brooklyn, NY 11222, USA"	"11222"	"Greenpoint"	"Brooklyn"
"85"	85	40.7478	-73.97344	"312 E 39th St, New York, NY 10016, USA"	"10016"	"Gramercy Park and Murray Hill"	"Manhattan"
"86"	86	40.73455	-73.99074	"842-858 Broadway, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"87"	87	40.75797	-73.96603	"301 E 55th St, New York, NY 10022, USA"	"10022"	"Gramercy Park and Murray Hill"	"Manhattan"
"88"	88	40.76727	-73.99393	"601 W 52nd St, New York, NY 10019, USA"	"10019"	"Chelsea and Clinton"	"Manhattan"
"89"	89	40.74855	-73.98808	"1260 Broadway, New York, NY 10001, USA"	"10001"	"Chelsea and Clinton"	"Manhattan"
"90"	90	40.7566	-73.9979	"485 W 37th St, New York, NY 10018, USA"	"10018"	"Chelsea and Clinton"	"Manhattan"
"91"	91	40.71273	-74.00461	"6-16 Centre St, New York, NY 10007, USA"	"10007"	"Lower Manhattan"	"Manhattan"
"92"	92	40.71146	-74.00552	"One Pace Plaza, New York, NY 10038, USA"	"10038"	"Lower Manhattan"	"Manhattan"
"93"	93	40.76313	-73.96527	"1041 3rd Ave, New York, NY 10065, USA"	"10065"	"Upper East Side"	"Manhattan"
"94"	94	40.73222	-73.98166	"266 1st Avenue, New York, NY 10009, USA"	"10009"	"Lower East Side"	"Manhattan"
"95"	95	40.74178	-74.0015	"300 W 17th St, New York, NY 10011, USA"	"10011"	"Chelsea and Clinton"	"Manhattan"
"96"	96	40.75022	-73.97121	"300-320 E 43rd St, New York, NY 10017, USA"	"10017"	"Gramercy Park and Murray Hill"	"Manhattan"
"97"	97	40.74709	-73.94977	"11-22 45th Rd, Long Island City, NY 11101, USA"	"11101"	"Northwest Queens"	"Queens"
"98"	98	40.7202	-73.98998	"137 Allen St, New York, NY 10002, USA"	"10002"	"Lower East Side"	"Manhattan"
"99"	99	40.70862	-74.00722	"70 John St, New York, NY 10038, USA"	"10038"	"Lower Manhattan"	"Manhattan"
"100"	100	40.73625	-73.98474	"212 E 19th St, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"101"	101	40.75173	-73.98754	"1356 Broadway, New York, NY 10018, USA"	"10018"	"Chelsea and Clinton"	"Manhattan"
"102"	102	40.74034	-73.98955	"931 Broadway, New York, NY 10010, USA"	"10010"	"Gramercy Park and Murray Hill"	"Manhattan"
"103"	103	40.68305	-73.96492	"894-904 Fulton St, Brooklyn, NY 11238, USA"	"11238"	"Central Brooklyn"	"Brooklyn"
"104"	104	40.72814	-73.99021	"2-6 Taras Shevchenko Pl, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"105"	105	40.69581	-73.97356	"60 Carlton Ave, Brooklyn, NY 11205, USA"	"11205"	"Northwest Brooklyn"	"Brooklyn"
"106"	106	40.7667	-73.99062	"501-519 W 53rd St, New York, NY 10019, USA"	"10019"	"Chelsea and Clinton"	"Manhattan"
"107"	107	40.68989	-73.98101	"395 Flatbush Ave Ext, Brooklyn, NY 11201, USA"	"11201"	"Northwest Brooklyn"	"Brooklyn"
"108"	108	40.74517	-73.98683	"261 5th Ave, New York, NY 10016, USA"	"10016"	"Gramercy Park and Murray Hill"	"Manhattan"
"109"	109	40.72741	-73.98142	"308 E 10th St, New York, NY 10009, USA"	"10009"	"Lower East Side"	"Manhattan"
"110"	110	40.73266	-73.95826	"78-88 Huron St, Brooklyn, NY 11222, USA"	"11222"	"Greenpoint"	"Brooklyn"
"111"	111	40.73913	-73.97974	"309 E 25th St, New York, NY 10010, USA"	"10010"	"Gramercy Park and Murray Hill"	"Manhattan"
"112"	112	40.7362	-74.00859	"137-147 Bank St, New York, NY 10014, USA"	"10014"	"Greenwich Village and Soho"	"Manhattan"
"113"	113	40.75641	-73.99003	"New York Times Bldg, 620 8th Ave, New York, NY 10018, USA"	"10018"	"Chelsea and Clinton"	"Manhattan"
"114"	114	40.7221	-73.99725	"207-225 Lafayette St, New York, NY 10012, USA"	"10012"	"Greenwich Village and Soho"	"Manhattan"
"115"	115	40.77051	-73.98804	"500-524 W 59th St, New York, NY 10019, USA"	"10019"	"Chelsea and Clinton"	"Manhattan"
"116"	116	40.77579	-73.97621	"115 Central Park West, New York, NY 10023, USA"	"10023"	"Upper West Side"	"Manhattan"
"117"	117	40.71929	-73.945	"Brooklyn Queens Expy & McGuinness Blvd S & I-278, Brooklyn, NY 11222, USA"	"11222"	"Greenpoint"	"Brooklyn"
"118"	118	40.72904	-73.99405	"Meyer Block, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"119"	119	40.73588	-73.98205	"304 E 20th St, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"120"	120	40.76695	-73.98169	"1785 Broadway, New York, NY 10019, USA"	"10019"	"Chelsea and Clinton"	"Manhattan"
"121"	121	40.77519	-73.94446	"140 East End Ave, New York, NY 10028, USA"	"10028"	"Upper East Side"	"Manhattan"
"122"	122	40.72628	-73.98978	"84 E 4th St, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"123"	123	40.67943	-73.92989	"1741 Fulton St, Brooklyn, NY 11233, USA"	"11233"	"Central Brooklyn"	"Brooklyn"
"124"	124	40.72456	-73.99565	"273 Mulberry St, New York, NY 10012, USA"	"10012"	"Greenwich Village and Soho"	"Manhattan"
"125"	125	40.71689	-73.9632	"233 Wythe Ave, Brooklyn, NY 11249, USA"	"11249"	"Bushwick and Williamsburg"	"Brooklyn"
"126"	126	40.72521	-73.97769	"701-709 E 9th St, New York, NY 10009, USA"	"10009"	"Lower East Side"	"Manhattan"
"127"	127	40.74195	-74.00803	"56 10th Ave, New York, NY 10014, USA"	"10014"	"Greenwich Village and Soho"	"Manhattan"
"128"	128	40.77863	-73.95772	"104-110 E 84th St, New York, NY 10028, USA"	"10028"	"Upper East Side"	"Manhattan"
"129"	129	40.76501	-73.95818	"1245-1261 1st Avenue, New York, NY 10065, USA"	"10065"	"Upper East Side"	"Manhattan"
"130"	130	40.68807	-73.98411	"60 Bond St, Brooklyn, NY 11217, USA"	"11217"	"Northwest Brooklyn"	"Brooklyn"
"131"	131	40.73524	-74.00027	"30-32 Greenwich Ave, New York, NY 10011, USA"	"10011"	"Chelsea and Clinton"	"Manhattan"
"132"	132	40.68312	-73.97895	"35 4th Ave, Brooklyn, NY 11217, USA"	"11217"	"Northwest Brooklyn"	"Brooklyn"
"133"	133	40.71422	-73.98135	"329-339 Henry St, New York, NY 10002, USA"	"10002"	"Lower East Side"	"Manhattan"
"134"	134	40.72917	-73.9981	"552 LaGuardia Pl, New York, NY 10012, USA"	"10012"	"Greenwich Village and Soho"	"Manhattan"
"135"	135	40.71894	-73.99266	"Broome St, New York, NY 10002, USA"	"10002"	"Lower East Side"	"Manhattan"
"136"	136	40.68416	-73.96922	"782-808 Fulton St, Brooklyn, NY 11238, USA"	"11238"	"Central Brooklyn"	"Brooklyn"
"137"	137	40.78414	-73.98362	"50-51 Riverside Dr, New York, NY 10024, USA"	"10024"	"Upper West Side"	"Manhattan"
"138"	138	40.71427	-73.9899	"5-21 Canal St, New York, NY 10002, USA"	"10002"	"Lower East Side"	"Manhattan"
"139"	139	40.74233	-73.95412	"50-11 Vernon Blvd, Long Island City, NY 11101, USA"	"11101"	"Northwest Queens"	"Queens"
"140"	140	40.72229	-73.99148	"Stanton St, New York, NY 10002, USA"	"10002"	"Lower East Side"	"Manhattan"
"141"	141	40.75059	-73.99468	"421 8th Ave, New York, NY 10001, USA"	"10001"	"Chelsea and Clinton"	"Manhattan"
"142"	142	40.7568	-73.98291	"104 W 45th St, New York, NY 10036, USA"	"10036"	"Chelsea and Clinton"	"Manhattan"
"143"	143	40.69619	-73.99122	"262 Cadman Plaza W, Brooklyn, NY 11201, USA"	"11201"	"Northwest Brooklyn"	"Brooklyn"
"144"	144	40.70824	-74.0053	"25 Cliff St, New York, NY 10038, USA"	"10038"	"Lower Manhattan"	"Manhattan"
