,month,day_of_month,day_of_week,neighborhood,morning_outgoing,afternoon_outgoing,morning_incoming,afternoon_incoming
400,7,31,6,Lower Manhattan,56,220,39,242
401,7,31,6,Central Brooklyn,10,27,7,32
402,7,31,6,Northwest Queens,3,17,3,19
403,8,1,0,Lower East Side,853,704,364,944
404,8,1,0,Bushwick and Williamsburg,107,73,69,95
405,8,1,0,Greenwich Village and Soho,383,622,454,575
406,8,1,0,Greenpoint,142,93,71,100
407,8,1,0,Chelsea and Clinton,1127,1576,1159,1562
408,8,1,0,Lower Manhattan,267,709,512,337
409,8,1,0,Northwest Brooklyn,202,180,190,182
410,8,1,0,Gramercy Park and Murray Hill,676,1182,963,749
411,8,1,0,Central Brooklyn,63,26,27,29
412,8,1,0,Upper East Side,278,239,151,246
413,8,1,0,Upper West Side,308,183,49,278
414,8,1,0,Northwest Queens,31,40,42,35
415,8,1,0,Sunset Park,0,0,1,0
416,8,2,1,Upper East Side,325,230,168,262
417,8,2,1,Greenpoint,173,82,94,120
418,8,2,1,Bushwick and Williamsburg,151,64,93,85
419,8,2,1,Chelsea and Clinton,1421,1697,1482,1681
420,8,2,1,Greenwich Village and Soho,448,714,570,611
421,8,2,1,Lower East Side,1091,703,477,921
422,8,2,1,Lower Manhattan,350,789,644,446
423,8,2,1,Gramercy Park and Murray Hill,748,1281,1143,774
424,8,2,1,Northwest Brooklyn,246,263,215,239
425,8,2,1,Central Brooklyn,93,27,29,29
426,8,2,1,Sunset Park,0,5,0,2
427,8,2,1,Upper West Side,364,205,68,336
428,8,2,1,Northwest Queens,45,49,52,54
429,8,2,1,Hudson,0,0,0,0
430,8,3,2,Greenwich Village and Soho,418,706,547,569
431,8,3,2,Lower East Side,1034,720,479,974
432,8,3,2,Central Brooklyn,106,31,29,41
433,8,3,2,Bushwick and Williamsburg,131,69,72,93
434,8,3,2,Gramercy Park and Murray Hill,759,1317,1145,748
435,8,3,2,Upper East Side,360,233,148,296
436,8,3,2,Chelsea and Clinton,1361,1669,1440,1652
437,8,3,2,Upper West Side,407,218,93,320
438,8,3,2,Lower Manhattan,328,776,656,439
439,8,3,2,Greenpoint,179,104,98,116
440,8,3,2,Northwest Brooklyn,249,214,249,224
441,8,3,2,Northwest Queens,35,35,56,26
442,8,3,2,Sunset Park,0,4,0,4
443,8,3,2,East Harlem,0,0,0,0
444,8,4,3,Chelsea and Clinton,1360,1680,1408,1627
445,8,4,3,Gramercy Park and Murray Hill,747,1240,1135,722
446,8,4,3,Upper West Side,428,191,91,317
447,8,4,3,Lower Manhattan,300,719,630,393
448,8,4,3,Greenpoint,185,100,93,125
449,8,4,3,Lower East Side,1055,657,506,967
450,8,4,3,Northwest Brooklyn,252,254,233,228
451,8,4,3,Greenwich Village and Soho,435,664,512,630
452,8,4,3,Northwest Queens,34,58,57,37
453,8,4,3,Central Brooklyn,89,19,30,28
454,8,4,3,Upper East Side,352,257,181,299
455,8,4,3,Bushwick and Williamsburg,134,84,76,98
456,8,4,3,Sunset Park,0,0,2,0
457,8,5,4,Greenwich Village and Soho,390,641,475,613
458,8,5,4,Chelsea and Clinton,1196,1429,1245,1413
459,8,5,4,Gramercy Park and Murray Hill,591,978,957,597
460,8,5,4,Central Brooklyn,73,29,29,33
461,8,5,4,Lower East Side,937,697,423,970
462,8,5,4,Bushwick and Williamsburg,124,108,87,135
463,8,5,4,Greenpoint,145,120,85,144
464,8,5,4,Lower Manhattan,311,610,520,385
465,8,5,4,Upper West Side,406,233,100,325
466,8,5,4,Northwest Brooklyn,215,215,194,218
467,8,5,4,Upper East Side,282,264,168,296
468,8,5,4,Northwest Queens,27,44,43,43
469,8,5,4,Sunset Park,0,1,0,0
470,8,5,4,East Harlem,0,0,0,1
471,8,6,5,Chelsea and Clinton,232,626,204,566
472,8,6,5,Lower East Side,243,436,195,418
473,8,6,5,Upper West Side,92,225,61,169
474,8,6,5,Central Brooklyn,13,30,8,28
475,8,6,5,Greenwich Village and Soho,110,380,139,358
476,8,6,5,Gramercy Park and Murray Hill,213,263,181,215
477,8,6,5,Bushwick and Williamsburg,26,116,27,99
478,8,6,5,Upper East Side,109,182,77,162
479,8,6,5,Northwest Brooklyn,64,154,48,136
480,8,6,5,Greenpoint,24,118,15,113
481,8,6,5,Lower Manhattan,88,261,72,201
482,8,6,5,Northwest Queens,9,22,6,24
483,8,6,5,East Harlem,1,0,0,2
484,8,7,6,Chelsea and Clinton,210,817,203,839
485,8,7,6,Lower East Side,185,540,131,589
486,8,7,6,Upper West Side,81,320,55,347
487,8,7,6,Upper East Side,60,237,56,232
488,8,7,6,Greenpoint,15,139,17,123
489,8,7,6,Gramercy Park and Murray Hill,86,348,90,353
490,8,7,6,Northwest Brooklyn,48,225,46,225
491,8,7,6,Central Brooklyn,9,36,6,46
492,8,7,6,Bushwick and Williamsburg,16,117,18,133
493,8,7,6,Lower Manhattan,88,359,86,339
494,8,7,6,Greenwich Village and Soho,91,420,98,428
495,8,7,6,Northwest Queens,13,36,4,28
496,8,7,6,East Harlem,4,10,5,12
497,8,7,6,Hudson,0,0,0,0
498,8,8,0,Chelsea and Clinton,1210,1471,1210,1531
499,8,8,0,Lower East Side,923,586,450,866
500,8,8,0,Northwest Queens,31,42,34,34
501,8,8,0,Greenwich Village and Soho,401,691,531,554
502,8,8,0,Bushwick and Williamsburg,94,65,61,86
503,8,8,0,Gramercy Park and Murray Hill,760,1298,1024,701
504,8,8,0,Northwest Brooklyn,220,219,196,197
505,8,8,0,Greenpoint,154,81,76,88
506,8,8,0,Upper West Side,271,244,71,340
507,8,8,0,Lower Manhattan,340,749,579,396
508,8,8,0,Upper East Side,276,278,132,305
509,8,8,0,Central Brooklyn,83,25,22,44
510,8,8,0,East Harlem,6,15,3,6
511,8,8,0,Sunset Park,0,1,1,0
512,8,9,1,Greenwich Village and Soho,432,665,556,576
513,8,9,1,Greenpoint,157,87,95,114
514,8,9,1,Lower East Side,1121,659,535,875
515,8,9,1,Lower Manhattan,332,770,674,390
516,8,9,1,Northwest Queens,32,53,55,44
517,8,9,1,Chelsea and Clinton,1323,1645,1347,1632
518,8,9,1,Gramercy Park and Murray Hill,782,1283,1155,706
519,8,9,1,Northwest Brooklyn,267,239,229,199
520,8,9,1,Bushwick and Williamsburg,165,86,100,100
521,8,9,1,Upper West Side,409,271,91,363
522,8,9,1,Upper East Side,342,239,176,309
523,8,9,1,Central Brooklyn,84,20,32,39
524,8,9,1,East Harlem,7,11,5,3
525,8,9,1,Sunset Park,0,1,0,0
526,8,9,1,Hudson,0,0,0,0
527,8,10,2,Greenwich Village and Soho,396,618,553,548
528,8,10,2,Chelsea and Clinton,1277,1501,1340,1488
529,8,10,2,Northwest Queens,24,41,37,39
530,8,10,2,Lower Manhattan,287,621,523,368
531,8,10,2,Lower East Side,984,591,429,815
532,8,10,2,Gramercy Park and Murray Hill,712,1231,1104,697
533,8,10,2,Greenpoint,169,87,101,100
534,8,10,2,Bushwick and Williamsburg,124,69,82,79
535,8,10,2,Northwest Brooklyn,238,168,209,171
536,8,10,2,Central Brooklyn,83,22,27,38
537,8,10,2,Upper East Side,319,244,176,301
538,8,10,2,Upper West Side,415,241,98,334
539,8,10,2,East Harlem,7,14,8,6
540,8,10,2,Sunset Park,1,0,3,0
541,8,10,2,Hudson,0,0,0,0
542,8,11,3,Lower East Side,921,519,442,756
543,8,11,3,Greenwich Village and Soho,364,496,500,471
544,8,11,3,Bushwick and Williamsburg,109,56,85,67
545,8,11,3,Chelsea and Clinton,1225,1357,1236,1389
546,8,11,3,Upper West Side,374,224,92,303
547,8,11,3,Gramercy Park and Murray Hill,692,1041,981,632
548,8,11,3,Upper East Side,286,214,152,260
549,8,11,3,Northwest Queens,25,37,41,42
550,8,11,3,Greenpoint,161,82,103,96
551,8,11,3,Northwest Brooklyn,226,138,208,165
552,8,11,3,Lower Manhattan,250,543,511,347
553,8,11,3,Central Brooklyn,75,26,30,30
554,8,11,3,East Harlem,4,15,7,11
555,8,11,3,Sunset Park,1,0,1,0
556,8,12,4,Greenwich Village and Soho,348,573,438,465
557,8,12,4,Upper East Side,273,195,135,220
558,8,12,4,Gramercy Park and Murray Hill,555,778,833,502
559,8,12,4,Chelsea and Clinton,1027,1095,1040,1222
560,8,12,4,Northwest Brooklyn,206,197,183,187
561,8,12,4,Lower East Side,866,537,393,765
562,8,12,4,Lower Manhattan,262,407,458,275
563,8,12,4,Northwest Queens,22,33,35,33
564,8,12,4,Bushwick and Williamsburg,96,67,75,80
565,8,12,4,Greenpoint,114,83,77,92
566,8,12,4,Upper West Side,318,208,85,255
567,8,12,4,Central Brooklyn,58,25,25,28
568,8,12,4,East Harlem,12,14,16,9
569,8,12,4,Sunset Park,1,2,1,0
570,8,13,5,Lower East Side,291,393,238,410
571,8,13,5,Chelsea and Clinton,267,551,238,526
572,8,13,5,Greenwich Village and Soho,163,318,157,278
573,8,13,5,Northwest Brooklyn,80,125,57,130
574,8,13,5,Northwest Queens,14,9,10,10
575,8,13,5,Gramercy Park and Murray Hill,247,229,193,244
576,8,13,5,Upper East Side,130,136,94,147
577,8,13,5,Lower Manhattan,101,192,95,224
578,8,13,5,Upper West Side,82,189,63,209
579,8,13,5,Greenpoint,36,80,24,76
580,8,13,5,Bushwick and Williamsburg,33,78,30,105
581,8,13,5,Central Brooklyn,17,25,9,25
582,8,13,5,East Harlem,12,10,12,18
583,8,13,5,Sunset Park,0,0,0,0
584,8,14,6,Northwest Brooklyn,43,120,35,143
585,8,14,6,Lower East Side,167,418,136,481
586,8,14,6,Bushwick and Williamsburg,15,77,23,83
587,8,14,6,Greenwich Village and Soho,79,334,87,351
588,8,14,6,Lower Manhattan,89,219,73,220
589,8,14,6,Upper West Side,85,245,61,218
590,8,14,6,Gramercy Park and Murray Hill,81,260,76,248
591,8,14,6,Chelsea and Clinton,193,623,191,606
592,8,14,6,Upper East Side,64,154,63,166
593,8,14,6,Central Brooklyn,9,33,10,18
594,8,14,6,Greenpoint,29,73,19,83
595,8,14,6,Northwest Queens,10,27,7,24
596,8,14,6,East Harlem,7,22,3,16
597,8,15,0,Greenwich Village and Soho,354,589,530,489
598,8,15,0,Lower East Side,839,604,396,841
599,8,15,0,Chelsea and Clinton,1196,1353,1170,1424
600,8,15,0,Bushwick and Williamsburg,101,66,60,90
601,8,15,0,Upper West Side,268,227,80,333
602,8,15,0,Northwest Brooklyn,196,204,177,170
603,8,15,0,Lower Manhattan,318,690,534,371
604,8,15,0,Gramercy Park and Murray Hill,676,1259,945,702
605,8,15,0,Upper East Side,287,293,149,292
606,8,15,0,Northwest Queens,33,46,44,42
607,8,15,0,Greenpoint,153,96,99,110
608,8,15,0,Central Brooklyn,63,23,28,25
609,8,15,0,East Harlem,9,26,8,22
610,8,15,0,Sunset Park,0,0,1,0
611,8,16,1,Lower East Side,1016,603,446,859
612,8,16,1,Chelsea and Clinton,1257,1444,1303,1434
613,8,16,1,Northwest Brooklyn,218,162,208,164
614,8,16,1,Upper East Side,296,242,142,277
615,8,16,1,Greenpoint,177,91,110,88
616,8,16,1,Lower Manhattan,265,620,541,385
617,8,16,1,Gramercy Park and Murray Hill,702,1195,1034,699
618,8,16,1,Greenwich Village and Soho,397,625,549,521
619,8,16,1,Bushwick and Williamsburg,113,65,82,80
620,8,16,1,Upper West Side,333,205,98,321
621,8,16,1,Central Brooklyn,79,28,37,38
622,8,16,1,Northwest Queens,32,48,43,36
623,8,16,1,East Harlem,16,26,11,23
624,8,16,1,Sunset Park,1,1,2,0
625,8,17,2,Chelsea and Clinton,1309,1587,1238,1574
626,8,17,2,Upper East Side,366,229,196,269
627,8,17,2,Lower Manhattan,274,716,556,367
628,8,17,2,Greenwich Village and Soho,403,661,543,587
629,8,17,2,Gramercy Park and Murray Hill,676,1207,1054,683
630,8,17,2,Lower East Side,988,635,476,845
631,8,17,2,Bushwick and Williamsburg,131,65,89,86
632,8,17,2,Greenpoint,171,91,102,98
633,8,17,2,Upper West Side,361,288,95,327
634,8,17,2,Northwest Brooklyn,202,198,186,168
635,8,17,2,Northwest Queens,27,46,47,36
636,8,17,2,Central Brooklyn,85,19,30,34
637,8,17,2,East Harlem,15,28,15,25
638,8,17,2,Sunset Park,0,1,1,0
639,8,18,3,Chelsea and Clinton,1248,1556,1238,1510
640,8,18,3,Bushwick and Williamsburg,124,70,87,93
641,8,18,3,Greenpoint,168,99,93,96
642,8,18,3,Greenwich Village and Soho,402,616,476,561
643,8,18,3,Upper West Side,386,288,86,366
644,8,18,3,Lower East Side,958,663,463,873
645,8,18,3,Lower Manhattan,246,621,498,368
646,8,18,3,Gramercy Park and Murray Hill,685,1181,1038,686
647,8,18,3,Central Brooklyn,70,19,26,32
648,8,18,3,Upper East Side,327,240,152,286
649,8,18,3,Northwest Brooklyn,206,198,194,183
650,8,18,3,East Harlem,19,23,19,19
651,8,18,3,Northwest Queens,31,52,47,42
652,8,18,3,Sunset Park,0,1,1,0
653,8,19,4,Lower East Side,877,689,416,896
654,8,19,4,Lower Manhattan,250,563,466,355
655,8,19,4,Chelsea and Clinton,1134,1238,1172,1319
656,8,19,4,Greenwich Village and Soho,338,637,472,542
657,8,19,4,Upper West Side,378,290,96,331
658,8,19,4,Greenpoint,142,113,95,136
659,8,19,4,Gramercy Park and Murray Hill,581,828,888,559
660,8,19,4,Northwest Brooklyn,221,199,183,189
661,8,19,4,Bushwick and Williamsburg,98,105,70,106
662,8,19,4,Upper East Side,289,242,164,287
663,8,19,4,Northwest Queens,25,35,40,29
664,8,19,4,East Harlem,24,23,13,23
665,8,19,4,Central Brooklyn,70,23,28,28
666,8,19,4,Sunset Park,3,0,3,0
667,8,20,5,Gramercy Park and Murray Hill,257,320,220,285
668,8,20,5,Chelsea and Clinton,280,755,257,726
669,8,20,5,Bushwick and Williamsburg,29,128,37,139
670,8,20,5,Northwest Brooklyn,69,193,57,199
671,8,20,5,Lower East Side,320,507,233,561
672,8,20,5,Lower Manhattan,95,340,75,358
673,8,20,5,Greenwich Village and Soho,158,434,180,442
674,8,20,5,Upper West Side,113,304,68,304
675,8,20,5,Upper East Side,166,195,136,169
676,8,20,5,Greenpoint,42,131,34,138
677,8,20,5,Central Brooklyn,24,38,12,34
678,8,20,5,East Harlem,10,20,2,25
679,8,20,5,Northwest Queens,14,27,7,41
680,8,20,5,Sunset Park,0,0,0,0
681,8,21,6,Lower East Side,156,387,111,486
682,8,21,6,Bushwick and Williamsburg,17,87,15,101
683,8,21,6,Greenpoint,12,90,13,121
684,8,21,6,Upper West Side,71,274,64,249
685,8,21,6,Lower Manhattan,65,199,46,217
686,8,21,6,Greenwich Village and Soho,76,275,67,325
687,8,21,6,Chelsea and Clinton,190,580,171,666
688,8,21,6,Central Brooklyn,8,25,7,34
689,8,21,6,Gramercy Park and Murray Hill,64,232,62,287
690,8,21,6,Upper East Side,51,147,36,153
691,8,21,6,Northwest Brooklyn,38,181,32,215
692,8,21,6,Northwest Queens,1,19,3,16
693,8,21,6,East Harlem,1,14,2,22
694,8,21,6,Hudson,0,0,0,0
695,8,22,0,Greenwich Village and Soho,423,711,531,567
696,8,22,0,Lower East Side,877,694,428,953
697,8,22,0,Chelsea and Clinton,1294,1686,1298,1579
698,8,22,0,Gramercy Park and Murray Hill,752,1281,1047,716
699,8,22,0,Lower Manhattan,333,799,569,435
700,8,22,0,Central Brooklyn,62,40,18,36
701,8,22,0,Upper West Side,344,259,83,397
702,8,22,0,Greenpoint,142,89,81,119
703,8,22,0,Northwest Brooklyn,247,253,197,249
704,8,22,0,Upper East Side,314,276,186,325
705,8,22,0,East Harlem,24,35,10,37
706,8,22,0,Bushwick and Williamsburg,142,91,98,110
707,8,22,0,Northwest Queens,42,45,45,31
708,8,22,0,Sunset Park,0,1,2,2
709,8,22,0,Hudson,0,0,0,0
710,8,23,1,Greenwich Village and Soho,454,730,562,603
711,8,23,1,Chelsea and Clinton,1391,1714,1467,1687
712,8,23,1,Northwest Brooklyn,284,245,242,217
713,8,23,1,Gramercy Park and Murray Hill,761,1319,1170,773
714,8,23,1,Lower East Side,1014,677,464,953
715,8,23,1,Greenpoint,178,97,107,112
716,8,23,1,Upper West Side,457,291,126,417
717,8,23,1,Lower Manhattan,364,753,634,415
718,8,23,1,Northwest Queens,38,51,52,43
719,8,23,1,Bushwick and Williamsburg,159,103,92,115
720,8,23,1,Central Brooklyn,75,32,29,36
721,8,23,1,Upper East Side,366,301,179,314
722,8,23,1,East Harlem,26,38,20,30
723,8,23,1,Sunset Park,0,1,2,0
724,8,23,1,Hudson,0,0,1,0
725,8,24,2,Chelsea and Clinton,1365,1732,1445,1631
726,8,24,2,Upper West Side,478,290,126,406
727,8,24,2,Lower East Side,1064,718,500,949
728,8,24,2,Central Brooklyn,90,31,27,43
729,8,24,2,Gramercy Park and Murray Hill,779,1274,1132,728
730,8,24,2,Upper East Side,373,279,190,346
731,8,24,2,Bushwick and Williamsburg,137,89,89,92
732,8,24,2,Lower Manhattan,319,710,628,363
733,8,24,2,Greenpoint,179,114,99,118
734,8,24,2,Greenwich Village and Soho,464,703,582,636
735,8,24,2,Northwest Queens,29,48,50,39
736,8,24,2,Northwest Brooklyn,303,273,249,221
737,8,24,2,East Harlem,28,37,21,29
738,8,24,2,Sunset Park,0,2,1,0
739,8,24,2,Canarsie and Flatlands,0,0,0,1
740,8,25,3,Greenpoint,196,84,94,102
741,8,25,3,Greenwich Village and Soho,416,515,556,447
742,8,25,3,Lower Manhattan,328,484,597,316
743,8,25,3,Bushwick and Williamsburg,150,85,104,105
744,8,25,3,Lower East Side,993,499,452,733
745,8,25,3,Gramercy Park and Murray Hill,725,960,1149,641
746,8,25,3,Chelsea and Clinton,1238,1244,1283,1291
747,8,25,3,Upper West Side,506,215,136,333
748,8,25,3,Upper East Side,369,219,174,247
749,8,25,3,Northwest Brooklyn,306,203,248,215
750,8,25,3,East Harlem,30,39,22,18
751,8,25,3,Northwest Queens,28,44,52,38
752,8,25,3,Central Brooklyn,71,15,24,41
753,8,25,3,Canarsie and Flatlands,1,0,0,0
754,8,25,3,Sunset Park,0,2,1,0
755,8,26,4,Greenwich Village and Soho,386,605,462,599
756,8,26,4,Chelsea and Clinton,1132,1332,1140,1323
757,8,26,4,Greenpoint,139,115,86,121
758,8,26,4,Upper West Side,415,309,112,373
759,8,26,4,Bushwick and Williamsburg,126,92,70,107
760,8,26,4,Lower East Side,884,698,409,911
761,8,26,4,Lower Manhattan,265,575,499,354
762,8,26,4,Northwest Brooklyn,284,282,229,277
763,8,26,4,Gramercy Park and Murray Hill,570,853,929,640
764,8,26,4,Upper East Side,293,236,165,281
765,8,26,4,Central Brooklyn,58,26,27,35
766,8,26,4,Northwest Queens,26,42,57,48
767,8,26,4,East Harlem,21,31,12,31
768,8,26,4,Canarsie and Flatlands,0,1,1,1
769,8,26,4,Sunset Park,0,3,0,0
770,8,27,5,Bushwick and Williamsburg,30,173,30,138
771,8,27,5,Greenwich Village and Soho,123,377,124,436
772,8,27,5,Gramercy Park and Murray Hill,123,283,119,275
773,8,27,5,Chelsea and Clinton,253,715,238,774
774,8,27,5,Lower East Side,226,623,178,631
775,8,27,5,Upper West Side,108,311,78,297
776,8,27,5,Central Brooklyn,16,45,12,40
777,8,27,5,Northwest Brooklyn,90,270,76,319
778,8,27,5,Lower Manhattan,83,374,66,323
779,8,27,5,Upper East Side,81,236,58,208
780,8,27,5,Greenpoint,40,150,30,166
781,8,27,5,Northwest Queens,13,32,11,27
782,8,27,5,East Harlem,8,25,7,35
783,8,27,5,Canarsie and Flatlands,0,2,2,1
784,8,28,6,Greenwich Village and Soho,86,471,107,483
785,8,28,6,Lower East Side,188,534,137,571
786,8,28,6,Northwest Brooklyn,59,332,49,353
787,8,28,6,Gramercy Park and Murray Hill,88,304,75,327
788,8,28,6,Bushwick and Williamsburg,12,102,12,107
789,8,28,6,Chelsea and Clinton,222,851,183,859
790,8,28,6,Northwest Queens,11,49,11,45
791,8,28,6,Upper West Side,100,412,75,424
792,8,28,6,Lower Manhattan,74,421,86,372
793,8,28,6,Greenpoint,30,140,30,154
794,8,28,6,Central Brooklyn,12,43,7,42
795,8,28,6,Upper East Side,48,284,62,230
796,8,28,6,Canarsie and Flatlands,0,1,0,2
797,8,28,6,East Harlem,6,29,0,22
798,8,29,0,Chelsea and Clinton,1237,1632,1231,1516
799,8,29,0,Lower East Side,813,607,419,824
800,8,29,0,Lower Manhattan,297,644,558,342
801,8,29,0,Greenwich Village and Soho,402,657,524,527
802,8,29,0,Gramercy Park and Murray Hill,715,1279,1012,744
803,8,29,0,Northwest Brooklyn,293,303,225,280
804,8,29,0,Bushwick and Williamsburg,99,74,78,93
805,8,29,0,Central Brooklyn,63,20,26,30
806,8,29,0,Upper East Side,325,277,189,317
807,8,29,0,Greenpoint,135,92,64,112
808,8,29,0,Northwest Queens,35,48,52,34
809,8,29,0,Upper West Side,374,243,104,422
810,8,29,0,East Harlem,25,43,22,31
811,8,29,0,Canarsie and Flatlands,1,0,0,1
812,8,29,0,Sunset Park,0,3,0,0
813,8,29,0,Hudson,0,0,0,0
814,8,30,1,Chelsea and Clinton,1319,1683,1466,1660
815,8,30,1,Northwest Brooklyn,391,283,300,275
816,8,30,1,Lower East Side,1094,741,507,985
817,8,30,1,Greenwich Village and Soho,437,691,595,577
818,8,30,1,Lower Manhattan,330,732,658,385
819,8,30,1,Northwest Queens,26,64,41,36
820,8,30,1,Greenpoint,192,92,112,127
821,8,30,1,Gramercy Park and Murray Hill,743,1276,1126,786
822,8,30,1,Upper West Side,484,288,114,422
823,8,30,1,Central Brooklyn,76,26,32,44
824,8,30,1,Upper East Side,367,302,201,302
825,8,30,1,Bushwick and Williamsburg,151,83,89,94
826,8,30,1,East Harlem,32,40,30,38
827,8,30,1,Canarsie and Flatlands,3,0,0,1
828,8,30,1,Sunset Park,0,2,1,0
829,8,31,2,Greenwich Village and Soho,444,657,559,569
830,8,31,2,Gramercy Park and Murray Hill,731,1304,1066,799
831,8,31,2,Greenpoint,187,80,109,127
832,8,31,2,Lower East Side,1031,670,524,942
833,8,31,2,Upper West Side,469,263,119,394
834,8,31,2,Northwest Brooklyn,390,315,332,336
835,8,31,2,Chelsea and Clinton,1297,1661,1360,1540
836,8,31,2,Lower Manhattan,339,688,593,354
837,8,31,2,Upper East Side,334,269,171,300
838,8,31,2,Bushwick and Williamsburg,147,108,98,110
839,8,31,2,Northwest Queens,29,60,54,44
840,8,31,2,East Harlem,41,45,25,32
841,8,31,2,Central Brooklyn,76,26,28,40
842,8,31,2,Canarsie and Flatlands,0,0,2,0
843,8,31,2,Sunset Park,0,6,2,0
844,9,1,3,Lower East Side,547,561,281,756
845,9,1,3,Lower Manhattan,104,420,201,240
846,9,1,3,Chelsea and Clinton,708,1302,684,1305
847,9,1,3,Gramercy Park and Murray Hill,373,990,593,661
848,9,1,3,Northwest Brooklyn,166,249,142,220
849,9,1,3,Greenwich Village and Soho,219,530,278,436
850,9,1,3,Greenpoint,85,91,70,98
851,9,1,3,Upper East Side,194,194,106,225
852,9,1,3,Upper West Side,186,201,63,291
853,9,1,3,Central Brooklyn,29,20,13,25
854,9,1,3,Bushwick and Williamsburg,77,71,54,74
855,9,1,3,Northwest Queens,13,36,20,31
856,9,1,3,East Harlem,9,36,10,24
857,9,1,3,Sunset Park,0,2,1,1
858,9,1,3,Central Harlem,0,0,0,0
859,9,1,3,Canarsie and Flatlands,0,1,0,0
860,9,2,4,Chelsea and Clinton,993,1014,1010,1055
861,9,2,4,Bushwick and Williamsburg,99,77,78,110
862,9,2,4,Gramercy Park and Murray Hill,554,555,810,417
863,9,2,4,Lower East Side,741,635,418,739
864,9,2,4,Greenwich Village and Soho,336,609,434,553
865,9,2,4,Lower Manhattan,251,465,442,350
866,9,2,4,Upper West Side,394,318,113,378
867,9,2,4,Central Brooklyn,63,39,25,44
868,9,2,4,Northwest Queens,22,36,28,23
869,9,2,4,Upper East Side,292,203,171,220
870,9,2,4,Northwest Brooklyn,314,335,245,355
871,9,2,4,Greenpoint,140,118,81,126
872,9,2,4,East Harlem,28,36,16,40
873,9,2,4,Central Harlem,3,21,2,21
874,9,2,4,Canarsie and Flatlands,0,2,0,3
875,9,2,4,Sunset Park,0,2,0,1
876,9,3,5,Greenwich Village and Soho,72,433,100,378
877,9,3,5,Chelsea and Clinton,261,697,210,722
878,9,3,5,Lower East Side,166,473,133,472
879,9,3,5,Upper East Side,70,245,89,230
880,9,3,5,Upper West Side,102,321,64,293
881,9,3,5,Gramercy Park and Murray Hill,128,247,99,297
882,9,3,5,Lower Manhattan,78,381,65,422
883,9,3,5,Greenpoint,42,81,32,95
884,9,3,5,Northwest Brooklyn,91,378,73,364
885,9,3,5,Bushwick and Williamsburg,22,111,19,87
886,9,3,5,Central Brooklyn,11,47,10,25
887,9,3,5,Northwest Queens,13,36,9,39
888,9,3,5,East Harlem,7,31,7,17
889,9,3,5,Central Harlem,2,9,1,14
890,9,3,5,Canarsie and Flatlands,0,1,0,0
891,9,3,5,Sunset Park,0,0,0,0
892,9,4,6,Chelsea and Clinton,150,806,142,883
893,9,4,6,Gramercy Park and Murray Hill,75,246,64,298
894,9,4,6,Lower East Side,134,447,92,525
895,9,4,6,East Harlem,8,22,6,21
896,9,4,6,Northwest Brooklyn,58,408,61,425
897,9,4,6,Greenwich Village and Soho,62,527,69,484
898,9,4,6,Upper West Side,87,399,70,415
899,9,4,6,Greenpoint,28,132,20,137
900,9,4,6,Bushwick and Williamsburg,23,113,21,134
901,9,4,6,Upper East Side,60,275,32,230
902,9,4,6,Lower Manhattan,44,402,48,452
903,9,4,6,Northwest Queens,5,28,9,48
904,9,4,6,Central Brooklyn,18,40,7,42
905,9,4,6,Central Harlem,2,35,2,33
906,9,4,6,Sunset Park,0,0,0,0
907,9,4,6,Canarsie and Flatlands,0,4,0,3
908,9,5,0,Chelsea and Clinton,197,810,163,839
909,9,5,0,Greenwich Village and Soho,81,502,97,550
910,9,5,0,Greenpoint,32,141,21,127
911,9,5,0,Lower East Side,141,550,108,592
912,9,5,0,Central Brooklyn,12,56,4,55
913,9,5,0,Gramercy Park and Murray Hill,78,349,87,386
914,9,5,0,East Harlem,6,35,3,38
915,9,5,0,Northwest Queens,3,37,3,36
916,9,5,0,Upper East Side,59,263,37,254
917,9,5,0,Lower Manhattan,57,431,65,385
918,9,5,0,Northwest Brooklyn,78,439,72,471
919,9,5,0,Bushwick and Williamsburg,18,104,22,123
920,9,5,0,Upper West Side,76,412,58,401
921,9,5,0,Central Harlem,1,26,0,28
922,9,5,0,Canarsie and Flatlands,1,11,0,0
923,9,5,0,Sunset Park,0,0,0,0
924,9,6,1,Lower Manhattan,287,650,479,361
925,9,6,1,Lower East Side,864,675,473,865
926,9,6,1,Bushwick and Williamsburg,108,68,61,94
927,9,6,1,Northwest Queens,19,41,37,34
928,9,6,1,Greenwich Village and Soho,384,639,550,531
929,9,6,1,Chelsea and Clinton,1160,1498,1136,1449
930,9,6,1,Gramercy Park and Murray Hill,741,1278,1021,769
931,9,6,1,Greenpoint,140,83,86,86
932,9,6,1,East Harlem,22,38,17,25
933,9,6,1,Northwest Brooklyn,327,297,265,290
934,9,6,1,Upper West Side,226,219,101,337
935,9,6,1,Upper East Side,298,249,180,306
936,9,6,1,Central Brooklyn,68,20,26,37
937,9,6,1,Central Harlem,5,2,3,9
938,9,6,1,Canarsie and Flatlands,2,3,5,0
939,9,6,1,Sunset Park,0,1,3,0
940,9,7,2,Northwest Brooklyn,481,315,426,330
941,9,7,2,Chelsea and Clinton,1383,1759,1566,1654
942,9,7,2,Greenwich Village and Soho,513,747,701,619
943,9,7,2,Lower East Side,1021,689,545,903
944,9,7,2,Central Brooklyn,87,25,27,32
945,9,7,2,Greenpoint,202,99,120,121
