,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
128,,14,9,,354,,2016-11-22 02:41:34 PM,40.69363137,,-73.96223558,,Emerson Pl & Myrtle Ave,,Emerson Pl & Myrtle Ave,1,In Service,False,23
129,,35,7,,355,,2016-11-22 02:45:03 PM,40.71602118,,-73.99974372,,Bayard St & Baxter St,,Bayard St & Baxter St,1,In Service,False,43
130,,2,21,,356,,2016-11-22 02:42:04 PM,40.71622644,,-73.98261206,,Bialystoker Pl & Delancey St,,Bialystoker Pl & Delancey St,1,In Service,False,23
131,,23,4,,357,,2016-11-22 02:44:51 PM,40.73261787,,-73.99158043,,E 11 St & Broadway,,E 11 St & Broadway,1,In Service,False,27
132,,1,33,,358,,2016-11-22 02:44:56 PM,40.73291553,,-74.00711384,,Christopher St & Greenwich St,,Christopher St & Greenwich St,1,In Service,False,36
133,,43,9,,359,,2016-11-22 02:44:00 PM,40.75510267,,-73.97498696,,E 47 St & Park Ave,,E 47 St & Park Ave,1,In Service,False,55
134,,3,36,,360,,2016-11-22 02:41:40 PM,40.70717936,,-74.00887308,,William St & Pine St,,William St & Pine St,1,In Service,False,39
135,,4,38,,361,,2016-11-22 02:45:03 PM,40.71605866,,-73.99190759,,Allen St & Hester St,,Allen St & Hester St,1,In Service,False,43
136,,27,29,,362,,2016-11-22 02:44:12 PM,40.75172632,,-73.98753523,,Broadway & W 37 St,,Broadway & W 37 St,1,In Service,False,57
137,,24,24,,363,,2016-11-22 02:44:18 PM,40.70834698,,-74.01713445,,West Thames St,,West Thames St,1,In Service,False,49
138,,8,19,,364,,2016-11-22 02:43:32 PM,40.68900443,,-73.96023854,,Lafayette Ave & Classon Ave,,Lafayette Ave & Classon Ave,1,In Service,False,27
139,,3,28,,365,,2016-11-22 02:43:04 PM,40.68223166,,-73.9614583,,Fulton St & Grand Ave,,Fulton St & Grand Ave,1,In Service,False,31
140,,6,26,,366,,2016-11-22 02:42:59 PM,40.693261,,-73.968896,,Clinton Ave & Myrtle Ave,,Clinton Ave & Myrtle Ave,1,In Service,False,33
141,,25,8,,367,,2016-11-22 02:42:17 PM,40.75828065,,-73.97069431,,E 53 St & Lexington Ave,,E 53 St & Lexington Ave,1,In Service,False,34
142,,38,0,,368,,2016-11-22 02:44:41 PM,40.73038599,,-74.00214988,,Carmine St & 6 Ave,,Carmine St & 6 Ave,1,In Service,False,39
143,,34,1,,369,,2016-11-22 02:41:24 PM,40.73224119,,-74.00026394,,Washington Pl & 6 Ave,,Washington Pl & 6 Ave,1,In Service,False,35
144,,3,24,,372,,2016-11-22 02:41:35 PM,40.694528,,-73.958089,,Franklin Ave & Myrtle Ave,,Franklin Ave & Myrtle Ave,1,In Service,False,27
145,,7,12,,373,,2016-11-22 02:43:55 PM,40.69331716,,-73.95381995,,Willoughby Ave & Walworth St,,Willoughby Ave & Walworth St,1,In Service,False,19
146,,5,37,,376,,2016-11-22 02:43:01 PM,40.70862144,,-74.00722156,,John St & William St,,John St & William St,1,In Service,False,43
147,,33,14,,377,,2016-11-22 02:41:08 PM,40.72243797,,-74.00566443,,6 Ave & Canal St,,6 Ave & Canal St,1,In Service,False,47
148,,11,30,,379,,2016-11-22 02:42:33 PM,40.749156,,-73.9916,,W 31 St & 7 Ave,,W 31 St & 7 Ave,1,In Service,False,42
149,,11,28,,380,,2016-11-22 02:44:41 PM,40.73401143,,-74.00293877,,W 4 St & 7 Ave S,,W 4 St & 7 Ave S,1,In Service,False,39
150,,35,0,,382,,2016-11-22 02:43:13 PM,40.73492695,,-73.99200509,,University Pl & E 14 St,,University Pl & E 14 St,1,In Service,False,36
151,,27,9,,383,,2016-11-22 02:44:55 PM,40.735238,,-74.000271,,Greenwich Ave & Charles St,,Greenwich Ave & Charles St,1,In Service,False,39
152,,3,28,,384,,2016-11-22 02:44:13 PM,40.683048,,-73.964915,,Fulton St & Washington Ave,,Fulton St & Washington Ave,1,In Service,False,31
153,,20,9,,385,,2016-11-22 02:41:12 PM,40.75797322,,-73.96603308,,E 55 St & 2 Ave,,E 55 St & 2 Ave,1,In Service,False,29
154,,37,6,,386,,2016-11-22 02:44:38 PM,40.71494807,,-74.00234482,,Centre St & Worth St,,Centre St & Worth St,1,In Service,False,43
155,,17,21,,387,,2016-11-22 02:44:10 PM,40.71273266,,-74.0046073,,Centre St & Chambers St,,Centre St & Chambers St,1,In Service,False,39
156,,31,3,,388,,2016-11-22 02:41:46 PM,40.749717753,,-74.002950346,,W 26 St & 10 Ave,,W 26 St & 10 Ave,1,In Service,False,35
157,,5,22,,389,,2016-11-22 02:43:49 PM,40.71044554,,-73.96525063,,Broadway & Berry St,,Broadway & Berry St,1,In Service,False,27
158,,26,5,,390,,2016-11-22 02:44:23 PM,40.69221589,,-73.9842844,,Duffield St & Willoughby St,,Duffield St & Willoughby St,1,In Service,False,31
159,,2,28,,391,,2016-11-22 02:44:56 PM,40.69760127,,-73.99344559,,Clark St & Henry St,,Clark St & Henry St,1,In Service,False,31
160,,15,17,,392,,2016-11-22 02:44:20 PM,40.695065,,-73.987167,,Jay St & Tech Pl,,Jay St & Tech Pl,1,In Service,False,32
161,,3,28,,393,,2016-11-22 02:44:16 PM,40.72299208,,-73.97995466,,E 5 St & Avenue C,,E 5 St & Avenue C,1,In Service,False,31
162,,4,27,,394,,2016-11-22 02:41:58 PM,40.72521311,,-73.97768752,,E 9 St & Avenue C,,E 9 St & Avenue C,1,In Service,False,32
163,,22,6,,395,,2016-11-22 02:41:23 PM,40.68807003,,-73.98410637,,Bond St & Schermerhorn St,,Bond St & Schermerhorn St,1,In Service,False,30
164,,11,10,,396,,2016-11-22 02:43:49 PM,40.680342423,,-73.9557689392,,Lefferts Pl & Franklin Ave,,Lefferts Pl & Franklin Ave,1,In Service,False,25
165,,4,23,,397,,2016-11-22 02:42:40 PM,40.68415748,,-73.96922273,,Fulton St & Clermont Ave,,Fulton St & Clermont Ave,1,In Service,False,27
166,,15,16,,398,,2016-11-22 02:44:32 PM,40.69165183,,-73.9999786,,Atlantic Ave & Furman St,,Atlantic Ave & Furman St,1,In Service,False,31
167,,7,20,,399,,2016-11-22 02:43:09 PM,40.68851534,,-73.9647628,,Lafayette Ave & St James Pl,,Lafayette Ave & St James Pl,1,In Service,False,27
168,,0,15,,400,,2016-11-22 02:41:13 PM,40.71926081,,-73.98178024,,Pitt St & Stanton St,,Pitt St & Stanton St,1,In Service,False,15
169,,4,38,,401,,2016-11-22 02:42:35 PM,40.72019576,,-73.98997825,,Allen St & Rivington St,,Allen St & Rivington St,1,In Service,False,42
170,,3,37,,402,,2016-11-22 02:44:53 PM,40.7403432,,-73.98955109,,Broadway & E 22 St,,Broadway & E 22 St,1,In Service,False,40
